ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
TKM,2331.770078,15336.26559,77885.16348,472137.5437,3.248262,2.993857,1956.802706,8680.141558,83.91919617,56.59879524,4,na,5,https://www.cbd.int/doc/world/tm/tm-nr-05-ru.pdf
TLS,582.968708,2400.674939,42501.27223,15006.53549,15.99753,1.37165,0,0,0,0,na,na,0,0
TON,390.037037,96.492068,668054.6083,766.502265,12.58862,0.058384,4.999166,49.213533,1.281715716,51.00267205,na,na,0,0
TTO,37.071977,1594.834874,75798.46305,5213.102096,30.59282,0.048909,0,0,0,0,32,0.1,5,https://chm.cbd.int/api/v2013/documents/C7EFE124-DEAA-B14C-3D98-D0B9E66D99DE/attachments/TT%20Fifth%20National%20Report%20to%20the%20CBD_FINAL.pdf
TUN,1042.360893,12286.01772,100660.5035,155230.8391,7.914676,1.035521,225.015183,440.642829,21.58707071,3.586539097,17,10,6,https://chm.cbd.int/database/record/5DAF5DAA-D4D2-F800-CA8C-9462C5D56858
TUR,270.18272,1709.103181,255925.9584,782238.8742,0.218489,0.105571,128.252747,798.750156,47.46889327,46.73504589,na,na,5,https://www.cbd.int/doc/world/tr/tr-nr-05-en.pdf
TUV,213.859993,5.532731,731900.0274,41.785977,13.24064,0.02922,0,0,0,0,na,na,0,No information in 5th national report
TWN,3846.48539,7145.881111,342996.9472,36245.33119,19.71531,1.121434,0,0,0,0,na,na,0,0
TZA,7330.4453,362263.5408,243129.5958,947252.6908,38.2436,3.015036,4069.645366,117231.5709,55.51702795,32.36085272,54.6,6.5,6,https://chm.cbd.int/database/record/57914673-CF81-82CF-0808-C76D810BAB97
UGA,0,39053.54918,0,243144.8535,16.06185,0,0,16000.01107,0,40.96941611,18,0,5,https://www.cbd.int/doc/world/ug/ug-nr-05-en.pdf
UKR,4606.122844,23854.95209,134873.1664,598828.7966,3.983601,3.415151,130.023291,7084.633604,2.822835938,29.6987962,6.05,na,5,https://www.cbd.int/doc/world/ua/ua-nr-05-en.pdf
UMI,1278997.392,363.497911,1964384.514,363.495,100.0008,65.10932,2305.16164,1.457914,0.180231927,0.401079059,na,na,0,0
URY,978.887181,6556.762923,130097.9744,178459.889,3.674082,0.752423,666.038675,1880.016442,68.04039198,28.67293608,8.6,na,6,https://chm.cbd.int/database/record/50CCF748-F428-8010-744B-D5B1BD5F3A66
USA,1646302.243,1222239.667,8591493.148,9490391.294,12.87871,19.162,1537642.006,154799.8198,93.39973948,12.66525903,0,0,0,0
UZB,0,15200.69725,0,450362.5106,3.375214,0,0,2345.749366,0,15.43185373,5,0,5,https://www.cbd.int/doc/world/uz/uz-nr-05-en.pdf
VCT,80.359651,91.899504,36510.93366,409.906569,22.41962,0.220098,50.385389,49.16401,62.69986041,53.49757927,na,8.5,5,https://www.cbd.int/doc/world/vc/vc-nr-05-en.pdf
