SitRecID, site_area ,terr,fresh,marine, pa_area ,oecm_area,paoecm_area,pa_perc,paoecm_perc,pa_category,paoecm_category
694,157.5,Y,N,N,130.6468,0,130.6468,82.95,82.95034921,partial,partial
695,408.517,Y,N,N,404.7505,0,404.7505,99.08,99.07800655,complete,complete
696,595.742,Y,N,N,572.8551,0,572.8551,96.16,96.15825307,partial,partial
697,95.295,Y,N,N,79.5541,0,79.5541,83.48,83.48192455,partial,partial
698,11.16,Y,N,Y,10.3914,0,10.3914,93.12,93.11290323,partial,partial
699,51.358,Y,Y,N,50.0502,0,50.0502,97.45,97.45356128,partial,partial
700,97.645,Y,Y,N,93.8237,0,93.8237,96.09,96.08653797,partial,partial
701,19.135,Y,N,Y,18.9579,0,18.9579,99.07,99.07447086,complete,complete
702,7.815,Y,Y,N,5.7234,0,5.7234,73.24,73.23608445,partial,partial
703,41.903,Y,Y,N,38.4697,0,38.4697,91.81,91.80655323,partial,partial
704,70.848,Y,N,Y,68.2359,0,68.2359,96.31,96.31309282,partial,partial
705,1.923,Y,Y,N,1.7177,0,1.7177,89.32,89.32397296,partial,partial
706,41.089,Y,N,N,39.6134,0,39.6134,96.41,96.4087712,partial,partial
707,21.831,Y,N,N,21.7683,0,21.7683,99.71,99.71279373,complete,complete
708,70.76,Y,N,N,68.2376,0,68.2376,96.44,96.43527417,partial,partial
709,0.862,Y,Y,N,0.7063,0,0.7063,81.98,81.93735499,partial,partial
710,54.113,Y,N,N,53.3214,0,53.3214,98.54,98.53713525,complete,complete
711,64.568,Y,N,N,60.9248,0,60.9248,94.36,94.35757651,partial,partial
712,88.889,Y,N,N,87.4557,0,87.4557,98.39,98.38753952,complete,complete
713,98.619,Y,N,N,97.1383,0,97.1383,98.5,98.49856519,complete,complete
714,28.512,Y,N,N,27.854,0,27.854,97.69,97.69219978,partial,partial
715,131.234,Y,N,N,125.8152,0,125.8152,95.87,95.87088712,partial,partial
716,25.631,Y,Y,N,24.951,0,24.951,97.35,97.34696266,partial,partial
717,7.844,Y,Y,N,7.4244,0,7.4244,94.65,94.65068842,partial,partial
718,5.656,Y,Y,N,5.0885,0,5.0885,89.96,89.96640736,partial,partial
719,23.442,Y,N,N,23.3103,0,23.3103,99.44,99.43818787,complete,complete
720,12.487,Y,N,N,11.3038,0,11.3038,90.52,90.52454553,partial,partial
721,137.154,Y,N,N,44.0417,0,44.0417,32.11,32.11113055,partial,partial
722,838.655,Y,N,N,224.7203,0,224.7203,26.8,26.79532108,partial,partial
724,366.076,Y,N,N,115.5852,0,115.5852,31.57,31.57409937,partial,partial
725,224.26,Y,N,N,96.9889,0,96.9889,43.25,43.24841702,partial,partial
726,149.141,Y,N,N,77.3206,0,77.3206,51.84,51.84395974,partial,partial
730,416.382,Y,N,N,72.7477,0,72.7477,17.47,17.47138445,partial,partial
731,803.071,Y,Y,N,236.8512,0,236.8512,29.49,29.49318304,partial,partial
